room_name;owner_name;region;location;room_size;is_electricity_included;price_before_discount_bs;all_facilities_bs;room_availability_bs;deposit_amount_bs;price;rating;rating_count;transaction_count;tipe_kos;discount_amount;url
Kost Legenda Tipe A Cikarang Utara Bekasi;Dream Sejahtera Group;Bekasi;Kecamatan Cikarang Utara;6 x 8 meter;Tidak termasuk listrik;N/A;"6 x 8 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Jendela; Kursi; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Shower; WiFi; Kulkas; R. Cuci; Mesin Cuci; R. Jemur; R. Makan; Dapur; CCTV; Jemuran; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Tersisa3 kamar;Rp50.000/hari;Rp1.900.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-bekasi-kost-campur-eksklusif-kost-legenda-tipe-a-cikarang-utara-bekasi?redirection_source=list%20kos%20result%20boundary
Kost Legenda Tipe A Cikarang Utara Bekasi;Dream Sejahtera Group;Bekasi;Kecamatan Cikarang Utara;6 x 8 meter;Tidak termasuk listrik;N/A;"6 x 8 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Jendela; Kursi; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Shower; WiFi; Kulkas; R. Cuci; Mesin Cuci; R. Jemur; R. Makan; Dapur; CCTV; Jemuran; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Tersisa3 kamar;Rp50.000/hari;Rp1.900.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-bekasi-kost-campur-eksklusif-kost-legenda-tipe-a-cikarang-utara-bekasi?redirection_source=list%20kos%20result%20boundary
Kost Legenda Tipe A Cikarang Utara Bekasi;Dream Sejahtera Group;Bekasi;Kecamatan Cikarang Utara;6 x 8 meter;Tidak termasuk listrik;N/A;"6 x 8 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Jendela; Kursi; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Shower; WiFi; Kulkas; R. Cuci; Mesin Cuci; R. Jemur; R. Makan; Dapur; CCTV; Jemuran; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Tersisa3 kamar;Rp50.000/hari;Rp1.900.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-bekasi-kost-campur-eksklusif-kost-legenda-tipe-a-cikarang-utara-bekasi?redirection_source=list%20kos%20result%20boundary
Kost Legenda Tipe B Cikarang Utara Bekasi;Dream Sejahtera Group;Bekasi;Kecamatan Cikarang Utara;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Jendela; Kursi; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Shower; WiFi; Kulkas; R. Cuci; Mesin Cuci; R. Jemur; R. Makan; Dapur; CCTV; Jemuran; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp50.000/hari;Rp1.300.000;4.6;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-bekasi-kost-campur-eksklusif-kost-legenda-tipe-b-cikarang-utara-bekasi?redirection_source=list%20kos%20result%20boundary
Kost Legenda Tipe C Cikarang Utara Bekasi;Dream Sejahtera Group;Bekasi;Kecamatan Cikarang Utara;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Bantal; Cermin; Guling; Jendela; Kipas Angin; Kursi; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Shower; WiFi; Kulkas; R. Cuci; Mesin Cuci; R. Jemur; R. Makan; Dapur; CCTV; Jemuran; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp50.000/hari;Rp900.000;Not found;Not found;1 transaksi berhasil di kos ini;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-bekasi-kost-campur-murah-kost-legenda-tipe-c-cikarang-utara-bekasi?redirection_source=list%20kos%20result%20boundary
Kost Lenny Tipe B Kelapa Gading Jakarta Utara;Lenny Djuwita Sutjiadi;Jakarta Utara;Kecamatan Kelapa Gading;4 x 3 meter;Tidak termasuk listrik;N/A;"4 x 3 meter; Tidak termasuk listrik; AC; Kasur; TV; Lemari Baju; Cleaning service; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Kulkas; R. Tamu; R. Makan; Dapur; Locker";Kamar penuh;N/A;Rp2.200.000;Not found;Not found;1 transaksi berhasil di kos ini;Kos Putra;Not found;https://mamikos.com/room/kost-kota-jakarta-utara-kost-putra-eksklusif-kost-lenny-tipe-b-kelapa-gading-jakarta-utara-?redirection_source=list%20kos%20result%20boundary
Kost Leo Kelapa Gading Jakarta Utara;Leo Budiman;Jakarta Utara;Kelapa Gading;3 x 3 meter;Tidak termasuk listrik;N/A;"3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Dispenser; Lemari Baju; Kursi; Bantal; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; WiFi";N/A;N/A;Rp1.500.000;4.9;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-jkt-utara-kost-campur-eksklusif-kost-leo-kelapa-gading-jakarta-utara?redirection_source=list%20kos%20result%20boundary
Kost Lermanmora Tipe C Cikarang Selatan;Lerman Simamora SH;Bekasi;Cikarang Selatan;2.5 x 2.4 meter;Tidak termasuk listrik;N/A;"2.5 x 2.4 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; R. Cuci; Kulkas; R. Tamu; R. Makan; R. Jemur; R. Santai; Dapur; TV; R. Keluarga; Parkir Mobil; Parkir Motor; Parkir Sepeda";Tersisa1 kamar;Rp200.000;Rp1.200.000;5.0;(1);7 transaksi berhasil di kos ini;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-bekasi-kost-campur-eksklusif-kost-lermanmora-tipe-c-cikarang-selatan?redirection_source=list%20kos%20result%20boundary
Kost Lestari Vip Kelapa Gading Jakarta Utara;Selvyan;Jakarta Utara;Kecamatan Kelapa Gading;3 x 3 meter;Termasuk listrik (implied);N/A;"3 x 3 meter; Termasuk listrik; AC; Meja; Lemari Baju; Jendela; Kursi; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; Penjaga Kos; R. Makan; Dapur; K. Mandi Luar; Parkir Motor";Tersisa1 kamar;N/A;Rp1.700.000;4.9;Not found;1 transaksi berhasil di kos ini;Kos Campur;Not found;https://mamikos.com/room/kost-kota-jakarta-utara-kost-campur-eksklusif-kost-lestari-vip-kelapa-gading-jakarta-utara-2?redirection_source=list%20kos%20result%20boundary
Kost Lexie House Pondok Aren Tangerang Selatan;Slamet Prayitno;Tangerang Selatan;Pondok Aren;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Bantal; Guling; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Shower; WiFi; Kulkas; R. Tamu; Penjaga Kos; R. Jemur; R. Santai; Dapur; TV; Pengurus Kos; Jemuran; Parkir Motor; Parkir Sepeda";Tersisa1 kamar;N/A;Rp1.000.000;Not found;Not found;Not found;Kos Putra;Not found;https://mamikos.com/room/kost-kota-tangerang-selatan-kost-putra-murah-kost-lexie-house-pondok-aren-tangerang-selatan-1?redirection_source=list%20kos%20result%20boundary
Kost Lily Tipe C Cibinong Bogor;Lily;Bogor;Cibinong;3 x 4 meter;Termasuk listrik (implied);N/A;"3 x 4 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Dapur Pribadi; Guling; Jendela; Kipas Angin; Wastafel; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Bak mandi; Dapur; Jemuran; Jual Makanan; Parkir Motor; Parkir Sepeda";Tersisa1 kamar;N/A;Rp650.000;Not found;Not found;Not found;Kos Putri;Not found;https://mamikos.com/room/kost-kabupaten-bogor-kost-putri-murah-kost-lily-tipe-c-cibinong-bogor?redirection_source=list%20kos%20result%20boundary
Kost Lilyk Sugito Tipe Standart Cikarang Selatan Bekasi;HIDEO MATSUO;Bekasi;Cikarang Selatan;3 x 3 meter;Tidak termasuk listrik;N/A;"3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Kulkas; Cleaning service; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Laundry; Balcon; Parkir Mobil; Parkir Motor; Parkir Sepeda";Tersisa2 kamar;N/A;Rp1.400.000;5.0;(2);2 transaksi berhasil di kos ini;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-bekasi-kost-campur-eksklusif-kost-lilyk-sugito-tipe-standart-cikarang-selatan-bekasi?redirection_source=list%20kos%20result%20boundary
Kost Limoti Neglasari Tangerang;Ulin;Tangerang;Kecamatan Neglasari;4 x 4 meter;Tidak termasuk listrik;N/A;"4 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Kulkas; Ventilasi; Kursi; Wastafel; Bantal; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; Air panas; R. Tamu; Laundry; Penjaga Kos; R. Makan; R. Jemur; Dapur; Dispenser; CCTV; Jual Makanan; Parkir Mobil; Parkir Motor; Parkir Sepeda";N/A;Rp500.000;Rp1.000.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kost-campur-eksklusif-kost-limoti-neglasari-tangerang?redirection_source=list%20kos%20result%20boundary
Kost Limus Pratama Living Deluxe Cileungsi Bogor;Jessica;Bogor;Kecamatan Cileungsi;3.5 x 4 meter;Tidak termasuk listrik;N/A;"3.5 x 4 meter; Tidak termasuk listrik; AC; Kasur; Dispenser; Meja; TV; Kulkas; Lemari Baju; Ventilasi; Bantal; Cermin; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; Penjaga Kos; Dapur; CCTV; Kartu Akses; Pengurus Kos; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Kamar penuh;Rp750.000;Rp2.050.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-bogor-kost-campur-eksklusif-kost-limus-pratama-living-deluxe-cileungsi-bogor-2?redirection_source=list%20kos%20result%20boundary
Kost Lingga Tipe A Cileungsi Bogor;Sari Marlina;Bogor;Cileungsi;3 x 4 meter;Termasuk listrik (implied);N/A;"3 x 4 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; Kursi; Kipas Angin; K. Mandi Dalam; Kloset Duduk; Ember mandi; WiFi; Dapur; CCTV; Jemuran; Pengurus Kos; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp300.000;Rp1.000.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-bogor-kost-campur-eksklusif-kost-lingga-tipe-a-cileungsi-bogor-2?redirection_source=list%20kos%20result%20boundary
Kost Lippo Cikarang Mm Tazko Tipe A Cikarang Selatan Bekasi;Rika Hidayati;Bekasi;Cikarang Selatan;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja Rias; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Ember mandi; WiFi; Kulkas; Mesin Cuci; R. Jemur; R. Makan; Dapur; Dispenser; Jemuran; Pengurus Kos; Rooftop; Parkir Mobil; Parkir Motor";Tersisa1 kamar;N/A;Rp1.550.000;Not found;Not found;Not found;Kos Putri;Not found;https://mamikos.com/room/kost-kabupaten-bekasi-kost-putri-eksklusif-kost-lippo-cikarang-mm-tazko-tipe-a-cikarang-selatan-bekasi-2?redirection_source=list%20kos%20result%20boundary
Kost Lippo Meadow Green Tipe A Cikarang Selatan Bekasi;Ricky;Bekasi;Cikarang Selatan;3 x 2.5 meter;Tidak termasuk listrik;N/A;"3 x 2.5 meter; Tidak termasuk listrik; Dispenser; K. Mandi Luar; R. Cuci; R. Tamu; R. Jemur; R. Santai; Dapur; CCTV; Pengurus Kos; Parkir Mobil; Parkir Motor";Tersisa1 kamar;N/A;Rp850.000;5.0;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kabupaten-bekasi-kost-campur-murah-kost-lippo-meadow-green-tipe-a-cikarang-selatan-bekasi?redirection_source=list%20kos%20result%20boundary
Kost Living Plus 2 Pulo Gadung Jakarta Timur;Eddy Yansen;Jakarta Timur;Kecamatan Pulo Gadung;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Dapur Pribadi; Jendela; Wastafel; K. Mandi Dalam; Kloset Duduk; Shower; Dapur; Jemuran; CCTV; Parkir Motor & Sepeda";Tersisa2 kamar;N/A;Rp1.600.000;4.9;Not found;Not found;Kos Campur;Diskon 170rb;https://mamikos.com/room/kost-kota-jakarta-timur-kost-campur-eksklusif-kost-living-plus-2-pulo-gadung-jakarta-timur-2?redirection_source=list%20kos%20result%20boundary
Kost Living Plus Kasuari Cikarang Utara Bekasi;Eddy Yansen;Bekasi;Kecamatan Cikarang Utara;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Bantal; Cermin; Kursi; Guling; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Tamu; R. Jemur; Dapur; Dispenser; CCTV; Jemuran; Pengurus Kos; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";N/A;Rp500.000;Rp1.500.000;Not found;Not found;Not found;Kos Putri;Not found;https://mamikos.com/room/kost-kabupaten-bekasi-kost-putri-eksklusif-kost-living-plus-kasuari-cikarang-utara-bekasi?redirection_source=list%20kos%20result%20boundary
Kost Living Plus Tawakal Tipe B Grogol petamburan Jakarta Barat;Eddy Yansen;Jakarta Barat;Kecamatan Grogol petamburan;4 x 3 meter;Tidak termasuk listrik;N/A;"4 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Guling; Jendela; Kloset Duduk; Shower; Air panas; WiFi; Jemuran; Rooftop; Parkir Motor & Sepeda";Kamar penuh,lihat kos lainnya;N/A;Rp1.300.000;4.6;Not found;Not found;Kos Campur;Diskon 112rb;https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-eksklusif-kost-living-plus-tawakal-tipe-b-grogol-petamburan-jakarta-barat-2?redirection_source=list%20kos%20result%20boundary
Kost Logo Residence Tipe Standar Kebayoran Baru Jakarta Selatan;LOGO Residence;Jakarta Selatan;Kebayoran Baru;5 x 3 meter;Tidak termasuk listrik;N/A;"5 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Kulkas; Cleaning service; Guling; TV Kabel; Wastafel; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; R. Tamu; Laundry; Penjaga Kos; Mesin Cuci; R. Makan; R. Santai; Dispenser; Dapur; Parkir Mobil; Parkir Motor";Tersisa1 kamar;Rp100.000;Rp3.500.000;4.8;Not found;15 transaksi berhasil di kos ini;Kos Campur;Diskon 168rb;https://mamikos.com/room/kost-kota-jakarta-selatan-kost-campur-eksklusif-kost-logo-residence-tipe-standar-kebayoran-baru-jakarta-selatan?redirection_source=list%20kos%20result%20boundary
Kost Loka Asa Premium Karang Tengah Tangerang;Ilham fathur rahman;Tangerang;Kecamatan Karang Tengah;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Dispenser; Meja; TV; Lemari Baju; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; Kulkas; R. Cuci; Mesin Cuci; R. Tamu; Mushola; R. Jemur; R. Makan; R. Santai; Dapur; Balcon; Parkir Motor";Tersisa2 kamar;N/A;Rp1.500.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kota-tangerang-kost-campur-eksklusif-kost-loka-asa-premium-karang-tengah-tangerang?redirection_source=list%20kos%20result%20boundary
Kost Lotus Pancoran Jakarta Selatan;JW Residence Group;Jakarta Selatan;Pancoran;3 x 3 meter;Termasuk listrik (implied);N/A;"3 x 3 meter; Termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Cleaning service; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; Laundry; Penjaga Kos; R. Tamu; R. Santai; Dapur; Balcon; CCTV; Gazebo; Jemuran; Parkir Mobil; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat kos lainnya;N/A;Rp2.000.000;4.6;Not found;Not found;Kos Putri;Diskon 96rb;https://mamikos.com/room/kost-kota-jakarta-selatan-kost-putri-eksklusif-kost-lotus-pancoran-jakarta-selatan-2?redirection_source=list%20kos%20result%20boundary
Kost Lovina Neglasari Tangerang;Ivandy Setiawan;Tangerang;Neglasari;2.5 x 2.5 meter;Termasuk listrik (implied);N/A;"2.5 x 2.5 meter; Termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Guling; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Shower; WiFi; R. Cuci; Kulkas; R. Tamu; R. Jemur; R. Santai; Dapur; Dispenser; TV; Jemuran; Parkir Motor; Parkir Sepeda";N/A;Rp200.000;Rp1.450.000;5.0;(3);4 transaksi berhasil di kos ini;Kos Campur;Not found;https://mamikos.com/room/kost-kota-tangerang-kost-campur-eksklusif-kost-lovina-neglasari-tangerang-2?redirection_source=list%20kos%20result%20boundary
Kost Luffy Sukaraja Bogor;Bima Setya Pranajaya;Bogor;Kecamatan Sukaraja;3 x 3 meter;Tidak termasuk listrik;N/A;"3 x 3 meter; Tidak termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; Laundry; Dapur; Pengurus Kos; Parkir Motor; Parkir Sepeda";Tersisa2 kamar;N/A;Rp750.000;5.0;(1);3 transaksi berhasil di kos ini;Kos Putri;Not found;https://mamikos.com/room/kost-kabupaten-bogor-kost-putri-murah-kost-luffy-sukaraja-bogor?redirection_source=list%20kos%20result%20boundary
Kost Luxury VIP Cilincing Jakarta Utara;shinta;Jakarta Utara;Kecamatan Cilincing;3 x 3 meter;Tidak termasuk listrik;N/A;"3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Cleaning service; Dapur Pribadi; Guling; Kursi; K. Mandi Dalam; Kloset Duduk; K. Mandi Luar; Shower; WiFi; R. Cuci; Penjaga Kos; R. Jemur; R. Makan; R. Santai; Dapur; Balcon; CCTV; Jemuran; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Tersisa1 kamar;Rp300.000;Rp1.500.000;Not found;Not found;Not found;Kos Putra;Not found;https://mamikos.com/room/kost-jakarta-utara-kost-putra-eksklusif-kost-luxury-vip-cilincing-jakarta-utara-2?redirection_source=list%20kos%20result%20boundary
Kost M12 Tipe A Neglasari Tangerang;Abdul Mukti;Tangerang;Kecamatan Neglasari;4 x 5 meter;Termasuk listrik (implied);N/A;"4 x 5 meter; Termasuk listrik; AC; Kasur; Meja; TV; Meja Rias; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; K. Mandi Dalam; Kloset Jongkok; K. Mandi Luar; Ember mandi; Bak mandi; WiFi; Kulkas; R. Cuci; R. Tamu; R. Jemur; R. Makan; R. Santai; Dapur; Dispenser; Balcon; Parkir Mobil; Parkir Motor; Parkir Sepeda";N/A;N/A;Rp1.200.000;Not found;Not found;Not found;Kos Putri;Not found;https://mamikos.com/room/kost-kota-tangerang-kost-putri-eksklusif-kost-m12-tipe-a-neglasari-tangerang?redirection_source=list%20kos%20result%20boundary
Kost Madame Huis Deluxe Room Pancoran Mas Depok;Madame Huis;Depok;Pancoran Mas;3 x 3 meter;Termasuk listrik (implied);N/A;"3 x 3 meter; Termasuk listrik; AC; Kasur; Meja; Kulkas; Lemari Baju; Bantal; Cermin; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; Penjaga Kos; R. Tamu; R. Jemur; R. Santai; Dapur; Dispenser; CCTV; Jemuran; TV; Parkir Motor";Tersisa1 kamar;N/A;Rp2.250.000;5.0;Not found;1 transaksi berhasil di kos ini;Kos Putri;Not found;https://mamikos.com/room/kost-kota-depok-kost-putri-eksklusif-kost-madame-huis-deluxe-room-pancoran-mas-depok?redirection_source=list%20kos%20result%20boundary
Kost Madame Huis Standard Room Pancoran Mas Depok;Madame Huis;Depok;Kecamatan Pancoran Mas;3 x 3 meter;Termasuk listrik (implied);N/A;"3 x 3 meter; Termasuk listrik; AC; Kasur; Meja; Kulkas; Lemari Baju; Ventilasi; Bantal; Cermin; Jendela; Kursi; Kloset Duduk; K. Mandi Luar; Shower; Penjaga Kos; R. Tamu; R. Jemur; R. Santai; Dapur; Dispenser; CCTV; Jemuran; TV; Parkir Motor";Tersisa1 kamar;N/A;Rp1.750.000;5.0;Not found;1 transaksi berhasil di kos ini;Kos Putri;Not found;https://mamikos.com/room/kost-kota-depok-kost-putri-eksklusif-kost-madame-huis-standard-room-pancoran-mas-depok-1?redirection_source=list%20kos%20result%20boundary
Kost Madrasah Tipe C Pangkalan Jati Cinere Depok;Ana imam;Depok;Cinere;3 x 6 meter;Tidak termasuk listrik;N/A;"3 x 6 meter; Tidak termasuk listrik; Kasur; Wastafel; Kipas Angin; K. Mandi Dalam; Kloset Jongkok; Ember mandi; R. Jemur; R. Santai; Dapur; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat tipe kamar lainnya;N/A;Rp1.600.000;4.0;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-depok-kost-campur-eksklusif-kost-ana-dan-kontrakan-jl-madrasah-depok?redirection_source=list%20kos%20result%20boundary
Kost Maesa Sumur Batu Jakarta Pusat;Herling Walangitang;Jakarta Pusat;Kemayoran;3 x 3.5 meter;Termasuk listrik (implied);N/A;"3 x 3.5 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Kursi; Kipas Angin; Bantal; Guling; Cermin; Wastafel; Kloset Duduk; Kloset Jongkok; K. Mandi Luar; Ember mandi; Shower; WiFi; R. Cuci; R. Tamu; R. Jemur; R. Santai; Taman; Balcon; Jemuran; CCTV; Gazebo; Parkir Motor";N/A;N/A;Rp1.300.000;4.9;Not found;Not found;Kos Campur;Diskon 96rb;https://mamikos.com/room/kost-jakarta-pusat-kost-campur-eksklusif-kost-maesa-sumur-batu-jakarta-pusat?redirection_source=list%20kos%20result%20boundary
Kost Magnolia Tipe A Cipondoh Tangerang;Magnolia Room Management;Tangerang;Cipondoh;3 x 4 meter;Termasuk listrik (implied);N/A;"3 x 4 meter; Termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Cermin; Jendela; Kursi; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; Air panas; WiFi; R. Tamu; R. Makan; R. Jemur; Dapur; Taman; CCTV; Jemuran; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Tersisa1 kamar;Rp1.000.000;Rp2.200.000;Not found;Not found;3 transaksi berhasil di kos ini;Kos Campur;Not found;https://mamikos.com/room/kost-kota-tangerang-kost-campur-eksklusif-kost-magnolia-tipe-a-cipondoh-tangerang-2?redirection_source=list%20kos%20result%20boundary
Kost Magnolia Tipe B Cipondoh Tangerang;Magnolia Room Management;Tangerang;Cipondoh;3 x 3 meter;Termasuk listrik (implied);N/A;"3 x 3 meter; Termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; Kursi; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; WiFi; R. Tamu; R. Makan; R. Jemur; R. Santai; Dapur; CCTV; Jemuran; R. Keluarga; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp1.000.000;Rp2.000.000;5.0;(1);1 transaksi berhasil di kos ini;Kos Campur;Diskon 101rb;https://mamikos.com/room/kost-kota-tangerang-kost-campur-eksklusif-kost-magnolia-tipe-b-cipondoh-tangerang-2?redirection_source=list%20kos%20result%20boundary
Kost Maharani Tipe A Serpong Utara Tangerang Selatan;Kamala sinar maharani;Tangerang Selatan;Kecamatan Serpong Utara;3 x 3 meter;Termasuk listrik (implied);N/A;"3 x 3 meter; Termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Kursi; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; WiFi; Kulkas; Dapur; Dispenser; CCTV; Pengurus Kos; Parkir Mobil; Parkir Motor";Tersisa2 kamar;N/A;Rp1.250.000;Not found;Not found;Not found;Kos Putri;Not found;https://mamikos.com/room/kost-kota-tangerang-selatan-kost-putri-eksklusif-kost-maharani-tipe-a-serpong-utara-tangerang-selatan?redirection_source=list%20kos%20result%20boundary
Kost Mahardhika Perumnas 1 Tipe A Cibodas Tangerang;Dadang Rukman;Tangerang;Kecamatan Cibodas;3 x 4.5 meter;Termasuk listrik (implied);N/A;"3 x 4.5 meter; Termasuk listrik; Kasur; Lemari Baju; Cleaning service; K. Mandi Dalam; Kloset Jongkok; Ember mandi; R. Jemur; R. Santai; Balcon; Parkir Motor";Tersisa2 kamar;Rp200.000;Rp900.000;4.8;(1);1 transaksi berhasil di kos ini;Kos Campur;Not found;https://mamikos.com/room/kost-kota-tangerang-kost-campur-murah-kost-mahardhika-perumnas-1-tipe-a-cibodas-tangerang-2?redirection_source=list%20kos%20result%20boundary
Kost Mahesa Cilincing Jakarta Utara;Ibu mahesa;Jakarta Utara;Kecamatan Cilincing;4 x 4 meter;Tidak termasuk listrik;N/A;"4 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Meja Rias; Lemari Baju; Ventilasi; Cleaning service; TV Kabel; Meja makan; Bantal; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; R. Cuci; Kulkas; R. Tamu; Penjaga Kos; Laundry; R. Makan; R. Jemur; R. Santai; Dapur; Parkir Motor; Parkir Sepeda";N/A;N/A;Rp1.500.000;5.0;(1);10 transaksi berhasil di kos ini;Kos Campur;Diskon 83rb;https://mamikos.com/room/kost-kota-jakarta-utara-kost-campur-eksklusif-kost-mahesa-cilincing-jakarta-utara-1?redirection_source=list%20kos%20result%20boundary
Kost Mak Yanti Karawaci Tangerang;Yanti Komala;Tangerang;Karawaci;3 x 4 meter;Tidak termasuk listrik;N/A;"3 x 4 meter; Tidak termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Guling; Kipas Angin; Kloset Jongkok; K. Mandi Luar; Ember mandi; R. Jemur; Parkir Motor";Tersisa1 kamar;N/A;Rp500.000;Not found;Not found;Not found;Kos Campur;Not found;https://mamikos.com/room/kost-kota-tangerang-kost-campur-murah-kost-mak-yanti-karawaci-tangerang?redirection_source=list%20kos%20result%20boundary
